 CHID, RT, AMOUNT
 43054, 23, -50
 64644, 23, -5
 156768, 41, -50
 156768, 44, -50
 215221, 26, -250
 231661, 23, -100
 236102, 26, -100
 247478, 41, -50
 247478, 42, -50
 247478, 44, -50
 247478, 45, -50
 249397, 23, -200
 251059, 23, -50
 251166, 23, -50
 251166, 41, -50
 251515, 23, -50
 251515, 24, -50
 251515, 25, -50
 251561, 41, -50
 251561, 42, -50
 251561, 44, -50
 251561, 45, -50
 251566, 41, -50
 251566, 42, -50
 251566, 44, -50
 251566, 45, -50
 251610, 23, -50
 252679, 41, -75
 252679, 44, -97
 252712, 23, -400
 252772, 23, -50
 252772, 26, -50
 252772, 41, -50
 253073, 23, -50
 253320, 23, -15
 253323, 26, -100
 253447, 23, -5
 253447, 48, 0
 253447, 49, -128
 253485, 23, -100
 253531, 41, -50
 253531, 44, -50
 254125, 41, -50
 254125, 48, -50
 254249, 41, 0
 254249, 44, 0
 254249, 48, 0
 254249, 49, 0
 254544, 26, -50
 254544, 27, -50
 254544, 28, -50
 255024, 41, -100
 255024, 44, -100
 255210, 26, -20
 255210, 41, -50
 255306, 41, -50
 255306, 44, -50
 255316, 41, -50
 255568, 23, -50
 255568, 24, -50
 255568, 25, -50
 255568, 33, -50
 255568, 46, -50
 255568, 47, -50
 255579, 26, -50
 255579, 27, -50
 255579, 28, -50
 255806, 41, -50
 255806, 42, -50
 255806, 44, -50
 255806, 45, -50
 255806, 48, -50
 255806, 49, -50
 255806, 50, -50
 255806, 51, -50
 256257, 41, -50
 256257, 42, -50
 256257, 48, -50
 256257, 50, -50
 257006, 41, -50
 257748, 23, -50
 257748, 41, -50
 257748, 44, -50
 257882, 41, -50
 257882, 42, -50
 257882, 44, -50
 257882, 45, -50
 258103, 46, -50
 258441, 41, -200
 258441, 44, -200
 258476, 23, -20
 258910, 23, -50
 258910, 41, -50
 258910, 44, -50
 259142, 41, -50
 259400, 28, -100
 259727, 23, -50
 259727, 41, -50
 259727, 48, -50
